person,job,position
"Monique Cohen Amon","Member of the Board, SICPA, Switzerland","Level 3Board Member"
"Liam Condon","President, Bayer Crop Science, Bayer, Germany","Level 3Board Member"
"Jean-Philippe Courtois","President, Global Sales, Marketing and Operations",""
"Stephanie Czerny","Managing Director, DLD Media, Burda Media, Germany","Level 3Board Member"
"Francisco D'Souza","Vice-Chairman, Cognizant, USA","Level 3Board Member"
"Paul Daugherty","Chief Technology and Innovation Officer, Accenture, USA","Level 3Board Member"
"Jose Vicente De Los Mozos Obispo","Deputy Chief Executive Officer",""
"Jo Deblaere","Chief Operating Officer",""
"Philippe Delorme","Executive Vice-President and Chief Executive Officer, Energy Management Business, Schneider Electric, France","Level 3Board Member"
"Olga Dergunova","Deputy President",""
"Jean-Christophe G. Deslarzes","Chair, Compensation Committee, Governance and Nomination Committee, Adecco Group, Switzerland","Level 3Board Member"
"Allison Dew","Chief Marketing Officer, Dell Technologies, USA","Level 3Board Member"
"Michael Ding","Global Executive Director, Envision Group, People's Republic of China","Level 3Board Member"
"Alan Doss","President, Kofi Annan Foundation, Switzerland","Level 3Board Member"
"Silvio Dulinsky","Head of Business Engagement, Latin America",""
"Mirek Dusek","Deputy Head of the Centre for Geopolitical and Regional Affairs",""
"John Dutton","Head of Forum Foundations",""
"Paul N. Eckley","Senior Vice-President, Investments, State Farm Insurance, USA","Level 3Board Member"
"Hassan El Houry","Chief Executive Officer, National Aviation Services, Kuwait","Level 3Board Member"
"Hans-Ulrich Engel","Vice-Chairman of the Board of Executive Directors",""
"Morten Engelstoft","Chief Executive Officer, APM Terminals, A.P. Moeller Maersk, Netherlands","Level 3Board Member"
"Mary Callahan Erdoes","Chief Executive Officer, Asset and Wealth Management, JP Morgan, USA","Level 3Board Member"
"Michael Ettinger","Senior Vice-President, Corporate and Legal Affairs",""
"Isabel Fernandez","Member of the Management Board",""
"Anne Finucane","Vice-Chairman, Bank of America, USA","Level 3Board Member"
"Adaire Fox-Martin","Member of the Executive Board, SAP, Germany","Level 3Board Member"
"Karen Frank","Chief Executive Officer, Private Bank, Barclays, United Kingdom","Level 3Board Member"
"Nigel Frudd","Managing Executive Officer, Sompo Holdings, Japan","Level 3Board Member"
"Guido Fuerer","Group Chief Investment Officer and Member of the Executive Committee, Swiss Re, Switzerland","Level 3Board Member"
"David Garfield","Managing Director",""
"Adam Garrard","Chief Executive Officer, Corporate Risk and Broking, Willis Towers Watson, United Kingdom","Level 3Board Member"
"Julien Gattoni","Managing Director",""
"Richard J. Gnodde","Chief Executive Officer, Goldman Sachs International, United Kingdom","Level 3Board Member"
"Malte Godbersen","Head of Technology and Digital Services",""
"Pawan Goenka","Managing Director, Mahindra & Mahindra, India","Level 3Board Member"
"Kate Gutmann","Chief Revenue Officer",""
"Camilla Hagen Sørli","Member of the Board, Canica, Norway","Level 3Board Member"
"Juerg Haller","Chairman of the Board, Bank J. Safra Sarasin, Switzerland","Level 3Board Member"
"Feridun Hamdullahpur","Director of the Board, AMTD, Hong Kong SAR, China","Level 3Board Member"
"Maryanne Hancock","Chief Executive Officer, Y Analytics, USA","Level 3Board Member"
"John Harris","Founding Editor, Politico, USA","Level 3Board Member"
"Josh Harris","Executive Vice-President, Palantir Technologies, United Kingdom","Level 3Board Member"
"Mark Hawkins","President and Chief Financial Officer, Salesforce, USA","Level 3Board Member"
"Marco Herbst","Partner, Clayton, Dubilier & Rice, United Kingdom","Level 3Board Member"
"Peter Herweck","Executive Vice-President and Chief Executive Officer, Industrial Automation, Schneider Electric, Germany","Level 3Board Member"
"Kevin Hewitt","Chairman, Europe, Middle East and Africa, FTI Consulting, United Kingdom","Level 3Board Member"
"Kevin T. Hogan","Executive Vice-President and Chief Executive Officer, Life and Retirement, AIG, USA","Level 3Board Member"
"Richard Houston","Chief Executive Officer, North and South Europe, Deloitte, United Kingdom","Level 3Board Member"
"Kristin Hughes","Director, Global Plastics Action Partnership",""
"Hisayuki Idekoba","Chief Operating Officer"," Chief Risk Officer"
"Kazuo Inada","Senior Vice-President"," General Manager, Istanbul Branch, Mitsubishi, Turkey"
"Greg Jensen","Co-Chief Investment Officer, Bridgewater Associates, USA","Level 3Board Member"
"Leif Johansson","Chairman of the Board, AstraZeneca, Sweden","Level 3Board Member"
"Mohit Joshi","President",""
"Jeremy Jurgens","Managing Director, World Economic Forum","Level 3Board Member"
"Surya Kant","President, North America, Europe and United Kingdom, Tata Consultancy Services, USA","Level 3Board Member"
"Elsie S. Kanza","Head of the Regional Agenda, Africa",""
"Harald Kayser","Chairman of the Management Board and Senior Partner, PwC Europe, Germany","Level 3Board Member"
"Valery Kazikaev","Chairman of the Board of Directors, Baikal Mining, Russian Federation","Level 3Board Member"
"Ajay M. Khimji","Director, Khimji Ramdas Group, Sultanate of Oman","Level 3Board Member"
"Gunnar Kilian","Chief Human Resources Officer, Member of the Managing Board, Volkswagen Group, Germany","Level 3Board Member"
"Vikram Kirloskar","President, Confederation of Indian Industry (CII), India","Level 3Board Member"
"Alison Kitchen","Chairman, KPMG, Australia","Level 3Board Member"
"Manuel Kohnstamm","Senior Vice-President and Chief Corporate Affairs Officer, Liberty Global, USA","Level 3Board Member"
"Keiji Kojima","Executive Vice-President"," Chief Information Security Officer, Hitachi, Japan"
"Ram Krishnan","Global Chief Commercial Officer and Chief Executive Officer, Greater China, PepsiCo, People's Republic of China","Level 3Board Member"
"Subhash Kumar","Director, Finance, Oil and Natural Gas Corporation (ONGC), India","Level 3Board Member"
"Stanislav Kuznetsov","Deputy Chairman of the Executive Board, Sberbank, Russian Federation","Level 3Board Member"
"Anja Langenbucher","Director, Europe, Bill & Melinda Gates Foundation, Germany","Level 3Board Member"
"Jose Larocca","Member of the Board, Puma Energy, Switzerland","Level 3Board Member"
"Andrew LeSueur","Global Managing Partner, Heidrick Consulting, Heidrick & Struggles, USA","Level 3Board Member"
"Jerry Zhe Li","Deputy Director, Strategy, Innovation and Technology, MTR, Hong Kong SAR, China","Level 3Board Member"
"John Lindfors","Managing Partner, DST Investment Management, Hong Kong SAR, China","Level 3Board Member"
"Andrew N. Liveris","Member of the Board of Directors, Saudi Aramco, Saudi Arabia","Level 3Board Member"
"Kevin Lynch","Vice-Chairman, BMO Financial Group, Canada","Level 3Board Member"
"Mario Mesquita","Chief Economist, Itaú Unibanco, Brazil","Level 3Board Member"
"Berry J. Marttin","Member of the Executive Board, Rabobank, Netherlands","Level 3Board Member"
"Elena Martynova","Managing Director, USM Holdings, Russian Federation","Level 3Board Member"
"Neil Masterson","Co-Chief Operating Officer, Thomson Reuters, USA","Level 3Board Member"
"Jeffrey May","President, Global Public Policy, MSD, USA","Level 3Board Member"
"Lindiwe Mazibuko","Co-Founder and Executive Director, Apolitical Foundation, South Africa","Level 3Board Member"
"Mark McCombe","Senior Managing Director",""
"Ryan McInerney","President, Visa, USA","Level 3Board Member"
"Viraj Mehta","Head of Regional Agenda, India and South Asia",""
"Xavier Mesnard","Lead Partner, Strategic Operations Practice, Kearney, United Kingdom","Level 3Board Member"
"Mauricio Minas","Member of the Board and Executive Vice-President, Banco Bradesco, Brazil","Level 3Board Member"
"Brigitte Mohn","Member of the Executive Board, Bertelsmann Stiftung, Germany","Level 3Board Member"
"Julie Monaco","Managing Director",""
"Adrian Monck","Managing Director, World Economic Forum","Level 3Board Member"
"Thomas K. Montag","Chief Operating Officer, Bank of America, USA","Level 3Board Member"
"Alexey Motlokhov","Adviser to the Chief Executive Officer, Investment Matters, PhosAgro, Russian Federation","Level 3Board Member"
"Shahmar Movsumov","Member of the Supervisory Board, State Oil Fund of the Republic of Azerbaijan (SOFAZ), Azerbaijan","Level 3Board Member"
"Christian Mumenthaler","Group Chief Executive Officer, Swiss Re, Switzerland","Level 3Board Member"
"David Nabarro","Director, 4SD, Switzerland","Level 3Board Member"
"Masato Nakagawa","Executive Fellow, Global Technical Affairs, DENSO, Japan","Level 3Board Member"
"Koichi Narasaki","Group Chief Digital Officer, Executive Vice-President and Executive Officer, Sompo Holdings, Japan","Level 3Board Member"
"Sarita Nayyar","Managing Director",""
"Scott Neal","Senior Vice-President, Worldwide Sales, Gulfstream Aerospace, USA","Level 3Board Member"
"Cedrik Neike","Member of the Managing Board, Siemens, Germany","Level 3Board Member"
"Ni Xia","Director, Office of the President, Mengniu Group, People's Republic of China","Level 3Board Member"
"Thomas Nides","Vice-Chairman, Morgan Stanley, USA","Level 3Board Member"
"Lars G. Nordström","Chairman of the Board, Vattenfall, Sweden","Level 3Board Member"
"David Novak","Co-President, Clayton, Dubilier & Rice, United Kingdom","Level 3Board Member"
"Vadym Novynskyi","Chairman, Smart-Holding, Ukraine","Level 3Board Member"
"Motoyasu Nozaki","Managing Officer and Chief Operating Officer, Mitsui & Co., Japan","Level 3Board Member"
"Hajime Nozawa","President and Chief Executive Officer, JTB Tourism Research and Consulting, Japan","Level 3Board Member"
"Thomas Ogilvie","Member of the Board, Human Resources and Corporate Incubation, Deutsche Post DHL, Germany","Level 3Board Member"
"Roman Palac","Member of the Management Board, PZU, Poland","Level 3Board Member"
"Park Jung-Ho","Chief Executive Officer, SK Telecom, Republic of Korea","Level 3Board Member"
"Gavin Patterson","Chairman, Europe, Salesforce, United Kingdom","Level 3Board Member"
"Brian Peccarelli","Chief Operating Officer, Customer Markets, Thomson Reuters, USA","Level 3Board Member"
"Daniel Pinto","Co-President and Chief Operating Officer, JPMorgan Chase",""
"Marc Pritchard","Chief Brand Officer, Procter & Gamble, USA","Level 3Board Member"
"Alexander Pumpyanskiy","Board Member, TMK, Russian Federation","Level 3Board Member"
"Roopa Purushothaman","Chief Economist",""
"Roberto Quarta","Partner and Chairman, Europe, Clayton, Dubilier & Rice, United Kingdom","Level 3Board Member"
"Matthew A. Quinn","Chief Operating Officer, TIBCO Software, USA","Level 3Board Member"
"David Rawlinson","Member of the Board, Nielsen, USA","Level 3Board Member"
"Thomas Reichert","Chairman, Global Practices",""
"Ren Zhengfei","Founder and Chief Executive Officer, Huawei Technologies, People's Republic of China","Level 3Board Member"
"Andreas Rittstieg","Member of the Executive Board, Burda Media, Germany","Level 3Board Member"
"Jörg Rockenhäuser","Managing Partner, Germany, Switzerland and Austria, Permira Beteiligungsberatung, Germany","Level 3Board Member"
"Mel Rogers","Head of Strategic Affairs",""
"Ivan Romanovsky","Vice-President, Americas, West Africa and Europe, LUKOIL, Russian Federation","Level 3Board Member"
"Jeffrey Allen Rosen","Deputy Chairman, Lazard, USA","Level 3Board Member"
"Don Rosenberg","Executive Vice-President, General Counsel and Corporate Secretary, Qualcomm, USA","Level 3Board Member"
"James Rosenfield","Senior Vice-President, IHS Markit, USA","Level 3Board Member"
"Roland Rudd","Chairman, Finsbury, United Kingdom","Level 3Board Member"
"Joan Ruff","Chair of the Board of Directors, AARP, USA","Level 3Board Member"
"Stephan Ruiz","Head of Group Controlling and Head of Finance and Operations USA, Member of the Executive Committee, World Economic Forum","Level 3Board Member"
"Patricia F. Russo","Chairman of the Board of Directors, Hewlett Packard Enterprise, USA","Level 3Board Member"
"Roland Sackers","Chief Financial Officer, QIAGEN, Germany","Level 3Board Member"
"Rachel Samrén","Executive Vice-President, Chief External Affairs Officer, Milicom, USA","Level 3Board Member"
"Dev Sanyal","Chief Executive, Alternative Energy",""
"Philipp Schindler","Senior Vice-President and Chief Business Officer, Google, USA","Level 3Board Member"
"Nancy Schlichting","Vice-Chair, Duke Health, USA","Level 3Board Member"
"Olivier M. Schwab","Managing Director, World Economic Forum","Level 3Board Member"
"Veronica Scotti","Chairperson, Public Sector Solutions, Swiss Re Management, Switzerland","Level 3Board Member"
"Michael Sen","Member of the Managing Board, Siemens, Germany","Level 3Board Member"
"Anish Shah","Group President, Strategy",""
"Yawar Shah","Chairman of the Board of Directors, SWIFT, Belgium","Level 3Board Member"
"Arun Sharma","Member of the Board, Adani Abbot Point Terminal, Australia","Level 3Board Member"
"Duco Sickinghe","Chairman of the Supervisory Board, KPN, Netherlands","Level 3Board Member"
"Ali Raza Siddiqui","Chairman, JS Group, Pakistan","Level 3Board Member"
"Bradford L. Smith","President, Microsoft, USA","Level 3Board Member"
"Francisco Soares dos Santos","Member of the Board, Jerónimo Martins, Portugal","Level 3Board Member"
"Yuri Soloviev","First Deputy President and Chairman of the Management Board, VTB Bank, Russian Federation","Level 3Board Member"
"Garen K. Staglin","Chairman and Co-Founder, One Mind, USA","Level 3Board Member"
"Paul Stoffels","Vice-Chairman of the Executive Committee",""
"Ivan Streshinsky","Member of the Board of Directors, USM Holdings, Russian Federation","Level 3Board Member"
"Norifumi Sugimoto","Managing Executive Officer, Development Bank of Japan (DBJ), Japan","Level 3Board Member"
"Chang Sun","Co-Managing Partner, TPG Capital, Hong Kong SAR, China","Level 3Board Member"
"Olaug Johanne Svarva","Chair",""
"Masao Takahashi","Head of Institutional Membership",""
"Tony Tan Keng Yam","Director and Special Adviser, GIC, Singapore","Level 3Board Member"
"Anderson Tanoto","Director, RGE, Singapore","Level 3Board Member"
"Alan Tennenberg","Chief Medical Officer, Global Public Health, Johnson & Johnson, USA","Level 3Board Member"
"Peter Terwiesch","President, Industrial Automation",""
"Tian Wei","Host, World Insight with Tian Wei, China Global Television Network (CGTN), People's Republic of China","Level 3Board Member"
"Pia Tischhauser","Global Leader, Insurance"," Managing Director"
"Graves Tompkins","Global Head, Capital Partnering, General Atlantic Partners, USA","Level 3Board Member"
"Terri Toyota","Deputy Head of the Centre for Global Public Goods",""
"John Randal Tyson","Chief Sustainability Officer, Tyson Foods, USA","Level 3Board Member"
"Shrikant Madhav Vaidya","Director, Refineries, Indian Oil, India","Level 3Board Member"
"Sergey Vakulenko","Head, Strategy and Innovations Department, Gazprom Neft, Russian Federation","Level 3Board Member"
"Alexander Vedyakhin","First Deputy Chairman of the Executive Board, Sberbank, Russian Federation","Level 3Board Member"
"Dominique Velter","Director, Strategic Marketing, Compagnie Financière Tradition, Switzerland","Level 3Board Member"
"Grazia Vittadini","Chief Technology Officer, Airbus, France","Level 3Board Member"
"Renate Wagner","Member of the Board of Management, Allianz, Germany","Level 3Board Member"
"Gunn Warsted","Chair, Telenor Group, Norway","Level 3Board Member"
"Dominic Kailash Nath Waughray","Managing Director, World Economic Forum","Level 3Board Member"
"Amy Weaver","President, Legal and Corporate Affairs, Salesforce, USA","Level 3Board Member"
"Martin Weiss","Member of the Executive Board, Hubert Burda Media, Germany","Level 3Board Member"
"Kathy Wengel","Executive Vice-President and Chief Global Supply Chain Officer, Johnson & Johnson, USA","Level 3Board Member"
"Bernadette Wightman","Managing Director, Banking and Financial Services, BT Group, United Kingdom","Level 3Board Member"
"Hildegard Wortmann","Member of the Board of Management, Sales and Marketing, Audi, Germany","Level 3Board Member"
"Lida Yan","Director",""
"Paco Ybarra","Chief Executive Officer, Institutional Clients Group, Citi, United Kingdom","Level 3Board Member"
"Saadia Zahidi","Managing Director, World Economic Forum","Level 3Board Member"
"Oscar de Bok","Chief Executive Officer, DHL Supply Chain",""
"Tom de Swaan","Chairman of the Supervisory Board, ABN AMRO, Netherlands","Level 3Board Member"
"Stefano del Punta","Chief Financial Officer, Intesa Sanpaolo, Italy","Level 3Board Member"
"Jan du Plessis","Group Chairman, BT Group, United Kingdom","Level 3Board Member"
"Jeroen van der Veer","Chairman of the Supervisory Board, Royal Philips, Netherlands","Level 3Board Member"
"Karl von Rohr","Member of the Management Board, Deutsche Bank, Germany","Level 3Board Member"
"Greg Abbott","Governor of Texas, USA","Level 4Sub-National/Regional Head"
"Thomas Aeschi","Member of the National Council, Swiss Parliament, Switzerland","Level 4Sub-National/Regional Head"
"H.H. Sheikh Ahmed Bin Saeed Al Maktoum","Chairman, Dubai Supreme Fiscal Committee",""
"Bodour Al Qasimi","Chairperson, Sharjah Investment and Development Authority - Shurooq, United Arab Emirates","Level 4Sub-National/Regional Head"
"Alice Bunn","Director, International, UK Space Agency, United Kingdom","Level 4Sub-National/Regional Head"
"Roland Rino Büchel","Member of the National Council, Swiss Parliament, Switzerland","Level 4Sub-National/Regional Head"
"Marcus Caduff","Councillor, Canton of Grisons, Switzerland","Level 4Sub-National/Regional Head"
"Mario Cavigelli","Councillor",""
"Damien Jacques André Cottier","Member of the National Council, Swiss Parliament, Switzerland","Level 4Sub-National/Regional Head"
"João Doria","Governor of the State of São Paulo, Brazil","Level 4Sub-National/Regional Head"
"Stefan Engler","Member of the Council of States, Swiss Parliament, Switzerland","Level 4Sub-National/Regional Head"
"Yvette Estermann","Member of the National Council, Swiss Parliament, Switzerland","Level 4Sub-National/Regional Head"
"Jean-Philippe Gaudin","Head of the Swiss Intelligence Service, Federal Department of Defence, Civil Protection and Sports of Switzerland","Level 4Sub-National/Regional Head"
"Rached Ghannouchi","Speaker of the Assembly of the Representatives of the People of Tunisia","Level 4Sub-National/Regional Head"
"Bastien Girod","Member of the National Council, Swiss Parliament, Switzerland","Level 4Sub-National/Regional Head"
"Niklaus-Samuel Gugger","Member of the National Council, Swiss Parliament, Switzerland","Level 4Sub-National/Regional Head"
"Robert Habeck","Party Leader, Alliance 90/The Greens, Germany","Level 4Sub-National/Regional Head"
"Antonio Hodgers","President of the Geneva Government",""
"Roger Köppel","Member of the National Council, Swiss Parliament, Switzerland","Level 4Sub-National/Regional Head"
"Carrie Lam","Chief Executive of Hong Kong SAR, China","Level 4Sub-National/Regional Head"
"François Legault","Premier of Quebec, Canada","Level 4Sub-National/Regional Head"
"Christa Markwalder","Vice-President of the Foreign Affairs Committee of the National Council of Switzerland","Level 4Sub-National/Regional Head"
"Magdalena Martullo-Blocher","Member of the National Council, Swiss Parliament, Switzerland","Level 4Sub-National/Regional Head"
"Guruprasad Mohapatra","Secretary, Department for Promotion of Industry and Internal Trade, India","Level 4Sub-National/Regional Head"
"Isabelle Moret","President of the National Council, Swiss Parliament, Switzerland","Level 4Sub-National/Regional Head"
"Kamal Nath","Chief Minister of Madhya Pradesh, India","Level 4Sub-National/Regional Head"
"Eric Nussbaumer","Member of the National Council, Swiss Parliament, Switzerland","Level 4Sub-National/Regional Head"
"Jon Domenic Parolini","Councillor",""
"Peter Peyer","Councillor, Canton of Grisons, Switzerland","Level 4Sub-National/Regional Head"
"Christian Rathgeb","President of the Government of the Canton of Grisons",""
"Martin Schmid","Member of the Council of States, Swiss Parliament, Switzerland","Level 4Sub-National/Regional Head"
"Elisabeth Schneider-Schneiter","Member of the National Council, Swiss Parliament, Switzerland","Level 4Sub-National/Regional Head"
"Amarinder Singh","Chief Minister of Punjab, India","Level 4Sub-National/Regional Head"
"Hans Stöckli","President of the Council of States, Swiss Parliament, Switzerland","Level 4Sub-National/Regional Head"
"Markus Söder","Minister-President of the State of Bavaria, Germany","Level 4Sub-National/Regional Head"
"Thomas Süssli","Chief of the Armed Forces, Federal Department of Defence, Civil Protection and Sports of Switzerland","Level 4Sub-National/Regional Head"
"H.R.H. The Prince of Wales","The Prince of Wales","Level 4Sub-National/Regional Head"
"Walter Thurnherr","Federal Chancellor of the Swiss Confederation","Level 4Sub-National/Regional Head"
"Laurent Wehrli","Member of the National Council, Swiss Parliament, Switzerland","Level 4Sub-National/Regional Head"
"B. S. Yediyurappa","Chief Minister of Karnataka, India","Level 4Sub-National/Regional Head"
"Tania Aidrus","Head, Digital Pakistan Initiative, Office of the Prime Minister of Pakistan","Level 4Sub-Ministerial Post"
"Eiman Al Mutairi","Assistant Minister of Commerce and Investment, Ministry of Commerce and Investment of Saudi Arabia","Level 4Sub-Ministerial Post"
"Anas Alfaris","President, King Abdulaziz City for Science and Technology (KACST), Saudi Arabia","Level 4Sub-Ministerial Post"
"Manpreet Badal","Minister of Finance and Planning of Punjab, India","Level 4Sub-Ministerial Post"
"Khalfan Belhoul","Chief Executive Officer, Dubai Future Foundation, United Arab Emirates","Level 4Sub-Ministerial Post"
"Ahmad bin Abdullah Humaid Belhoul Al Falasi","Minister of State for Higher Education and Advanced Skills of the United Arab Emirates","Level 4Sub-Ministerial Post"
"H.R.H. Prince Khalid Bin Salman Bin Abdulaziz Al Saud","Deputy Minister of Defence, Ministry of Defence and Aviation of Saudi Arabia","Level 4Sub-Ministerial Post"
"Abdulla Bin Touq","Secretary-General, Cabinet of the United Arab Emirates","Level 4Sub-Ministerial Post"
"Carlos Alexandre Da Costa","Deputy Minister for Productivity, Employment and Competitiveness, Ministry of Economy of Brazil","Level 4Sub-Ministerial Post"
"H.R.H. Prince Daniel of Sweden","Prince of Sweden and Duke of Västergötland","Level 4Sub-Ministerial Post"
"Bernard Emié","General Director for External Security, Ministry of the Armed Forces of France","Level 4Sub-Ministerial Post"
"Fang Xinghai","Vice-Chairman, China Securities Regulatory Commission, People's Republic of China","Level 4Sub-Ministerial Post"
"Mario Gattiker","State Secretary for Migration of Switzerland","Level 4Sub-Ministerial Post"
"Martina Hirayama","State Secretary for Education and Research and Innovation of Switzerland","Level 4Sub-Ministerial Post"
"Yoshiki Hiruma","Vice-President, Sustainability Management",""
"Marie-Gabrielle Ineichen-Fleisch","State Secretary for Economic Affairs of Switzerland","Level 4Sub-Ministerial Post"
"Kairat Kelimbetov","Governor, Astana International Financial Centre Authority, Kazakhstan","Level 4Sub-Ministerial Post"
"Keith Krach","Undersecretary of State for Economic Growth, Energy and the Environment of the United States","Level 4Sub-Ministerial Post"
"Jared Kushner","Assistant to the President and Senior Adviser to the President of the United States","Level 4Sub-Ministerial Post"
"Bahlil Lahadalia","Chairman, Indonesia Investment Coordinating Board (BKPM), Indonesia","Level 4Sub-Ministerial Post"
"Robert E. Lighthizer","United States Trade Representative","Level 4Sub-Ministerial Post"
"Ma Zhaoxu","Vice-Minister of Foreign Affairs of the People's Republic of China","Level 4Sub-Ministerial Post"
"Hideki Makihara","State Minister, Ministry of Economy, Trade and Industry of Japan, Japan, Ministry of Economy, Trade and Industry of Japan, Japan","Level 4Sub-Ministerial Post"
"Hiromichi Mizuno","Executive Managing Director and Chief Investment Officer, Government Pension Investment Fund (GPIF), Japan","Level 4Sub-Ministerial Post"
"John M. Mulvaney","Director of the Office of Management and Budget (OMB), Office of Management and Budget (OMB), USA","Level 4Sub-Ministerial Post"
"Agnès Pannier-Runacher","Secretary of State, Ministry of Economy and Finance of France","Level 4Sub-Ministerial Post"
"Peng Huagang","Member of the CPC Committee",""
"Claire Perry O'Neill","President of COP26, Cabinet Office, Her Majesty's Government, United Kingdom","Level 4Sub-Ministerial Post"
"Brune Poirson","Secretary of State, Ministry of Ecological and Inclusive Transition of France","Level 4Sub-Ministerial Post"
"K T Rama Rao","Minister of Information Technology, Industries, Municipal Administration and Urban Development of Telangana, India","Level 4Sub-Ministerial Post"
"Daniela Stoffel","State Secretary for International Finance of Switzerland","Level 4Sub-Ministerial Post"
"Eyob Tekalign Tolina","State Minister of Finance, Ministry for Finance and Economy of Ethiopia","Level 4Sub-Ministerial Post"
"Marcos Troyjo","Deputy Minister of the Economy for Foreign Trade and International Affairs of Brazil","Level 4Sub-Ministerial Post"
"Kenji Wakamiya","State Minister, Ministry of Foreign Affairs of Japan, Japan","Level 4Sub-Ministerial Post"
"Edward Yau","Secretary for Commerce and Economic Development of Hong Kong SAR, China","Level 4Sub-Ministerial Post"
"Alexander William Younger","Chief, Secret Intelligence Service (MI6), United Kingdom","Level 4Sub-Ministerial Post"
"Yu Jianhua","Vice-Minister, Ministry of Commerce of the People's Republic of China","Level 4Sub-Ministerial Post"
"Zhu Min","Chairman, National Institute of Financial Research, People's Republic of China","Level 4Sub-Ministerial Post"
"Abdulla Bin Khalifa Al Khalifa","Chief Executive Officer, Osool Asset Management, Bahrain","Level 4Head of Business Unit/Head of Region"
"Faisal Bin Thani Al-Thani","Head, Regional Portfolios, Qatar Investment Authority, Qatar","Level 4Head of Business Unit/Head of Region"
"Jim Alkove","Chief Trust Officer, Salesforce, USA","Level 4Head of Business Unit/Head of Region"
"Sheila Alrowaily","Chief Executive Officer, Wisayah Global Investments, Saudi Arabia","Level 4Head of Business Unit/Head of Region"
"Judson Althoff","Executive Vice-President, Worldwide Commercial Business, Microsoft, USA","Level 4Head of Business Unit/Head of Region"
"Dean Athanasia","President, Consumer and Small Business, Bank of America, USA","Level 4Head of Business Unit/Head of Region"
"Stephen Bamford","Co-Head, Global Fundraising, TPG, USA","Level 4Head of Business Unit/Head of Region"
"Ángel Bautista","Director, Institutional Relations, Repsol, Spain","Level 4Head of Business Unit/Head of Region"
"Emma Benameur","Managing Director",""
"Herman Betten","Senior Director, Strategic Partnerships and Engagement, Royal DSM, Netherlands","Level 4Head of Business Unit/Head of Region"
"Kelly Bissell","Senior Managing Director, Accenture Security, Accenture, USA","Level 4Head of Business Unit/Head of Region"
"Matthew Blake","Head of Shaping the Future of Financial and Monetary Systems",""
"Cheryl Buss","Chief Executive, Absa International, Absa Securities UK, United Kingdom","Level 4Head of Business Unit/Head of Region"
"Thomas Campion","Head, Corporate and Investment Banking, Northern Hemisphere, Itau BBA International, United Kingdom","Level 4Head of Business Unit/Head of Region"
"Neil Carr","President, Coatings and Performance Monomers Business",""
"Matthew Chamberlain","Chief Executive, London Metal Exchange, United Kingdom","Level 4Head of Business Unit/Head of Region"
"Brian Chin","Chief Executive Officer, Global Markets, Credit Suisse, USA","Level 4Head of Business Unit/Head of Region"
"Andrew Chiu","Vice-Chairman, AMTD, Hong Kong SAR, China","Level 4Head of Business Unit/Head of Region"
"Bechara Choucair","Chief Community Health Officer, Kaiser Permanente, USA","Level 4Head of Business Unit/Head of Region"
"Wei Sun Christianson","Co-Chief Executive Officer, Asia-Pacific",""
"Jared Cohen","Founder and Chief Executive Officer, Jigsaw, USA","Level 4Head of Business Unit/Head of Region"
"Simon Cooper","Chief Executive, Corporate, Commercial and Institutional Banking, Standard Chartered Bank, Singapore","Level 4Head of Business Unit/Head of Region"
"Hilary Cottam","Author and Social Entrepreneur, Centre for the Fifth Social Revolution, United Kingdom","Level 4Head of Business Unit/Head of Region"
"William 'Mo' Cowan","President, Global Government Affairs and Policy, GE, USA","Level 4Head of Business Unit/Head of Region"
"Stephen Dainton","Global Head, Markets, Barclays, United Kingdom","Level 4Head of Business Unit/Head of Region"
"Caio David","Chief Executive Officer, Itaú BBA, Brazil","Level 4Head of Business Unit/Head of Region"
"Laura Deaner","Global Chief Information Security Officer, S&P Global, USA","Level 4Head of Business Unit/Head of Region"
"Mary Ann Deignan","Managing Director, Shareholder Advisory, Lazard, USA","Level 4Head of Business Unit/Head of Region"
"Tyler Dickson","Global Co-Head, Banking, Capital Markets and Advisory, Citi, USA","Level 4Head of Business Unit/Head of Region"
"Sean Doherty","Head of International Trade and Investment, World Economic Forum","Level 4Head of Business Unit/Head of Region"
"Markus Dohle","Chief Executive Officer, Penguin Random House, USA","Level 4Head of Business Unit/Head of Region"
"Mary Draves","Chief Sustainability Officer, Dow, USA","Level 4Head of Business Unit/Head of Region"
"Maha Eltobgy","Head of Shaping the Future of Investing",""
"Paula Escobar Chavarría","Editor, Magazines, Empresa Periodistica El Mercurio, Chile","Level 4Head of Business Unit/Head of Region"
"James Etheredge","Chief Executive, North America, Accenture, USA","Level 4Head of Business Unit/Head of Region"
"Carolyn Everson","Vice-President, Global Marketing Solutions, Facebook, USA","Level 4Head of Business Unit/Head of Region"
"Hanneke Faber","President, Foods and Refreshment Division, Unilever, Netherlands","Level 4Head of Business Unit/Head of Region"
"Francois Faelli","Partner and Global Head, Consumer Goods Practice, Bain & Company, Belgium","Level 4Head of Business Unit/Head of Region"
"Manuel Falcó","Global Co-Head, Banking, Capital Markets and Advisory, Citi, United Kingdom","Level 4Head of Business Unit/Head of Region"
"Martine Ferland","Chief Executive Officer, Mercer, USA","Level 4Head of Business Unit/Head of Region"
"Susan Flanagan","President and Chief Executive Officer, GE Energy Financial Services, GE Energy, USA","Level 4Head of Business Unit/Head of Region"
