name,meta
"Ilona Szabó de Carvalho","Executive Director, Igarape, Inc, USA"
"Tom Szaky","Founder and Chief Executive Officer, TerraCycle, USA"
"Jacek Szwajcowski","Chief Executive Officer, Pelion, Poland"
"Khaldoon Tabaza","Founder, Chairman and Managing Director, iMENA Group Ltd, Jordan"
"Shoko Takahashi","Representative Director, Genequest Inc., Japan"
"Kohey Takashima","Chief Executive Officer and Founder, Oisix ra daichi Inc., Japan"
"Aarti Takoordeen","Chief Financial Officer, Johannesburg Stock Exchange, South Africa"
"Nick Talwar","President & CEO, CircleUp, USA"
"Nina Tandon","President and Chief Executive Officer, EpiBone, USA"
"Donald Tang","Managing Partner, Celadon Partners, Hong Kong SAR, China"
"Tanit Chearavanont","Managing Director, Siam Makro Plc, Thailand"
"Stacey Tank","Chief Corporate Affairs and Transformation Officer, Heineken International B.V., Netherlands"
"Tan Yinglan","Chief Executive Officer and Founding Managing Partner, Insignia Ventures Partners, Singapore"
"Lucian Tarnowski","Founding Curator, Civana, USA"
"Rodrigo Tavares","Founder and President, Granito Group, United Kingdom"
"Sue Anne Tay","Head, Strategy and Planning, Singapore, The Hongkong and Shanghai Corporation Limited (HSBC SGH), Singapore"
"Dylan E. Taylor","Chairman and Chief Executive Officer, Voyager Space Holdings, USA"
"Teh Hua Fung","Group President, ONE Championship, Singapore"
"Rodrigo Teijeiro","Founder and Chief Executive Officer, RecargaPay, USA"
"Kanika Tekriwal","Founder and Chief Executive Officer, JetSetGo Aviation Services Pvt Ltd, India"
"Natznet Tesfay","Executive Director, Africa, IHS Markit, United Kingdom"
"Piyush Tewari","Founder and Chief Executive Officer, SaveLife, India"
"David Thai","Founder, Chief Executive Officer and Chairman of the Board, Viet Thai International Joint Stock Company, Viet Nam"
"Ashish J. Thakkar","Chief Executive Officer, Mara Phones, Rwanda"
"Peter A. Thiel","Partner, Founders Fund, USA"
"Anahita Thoms","Partner, International Trade Practice, Baker McKenzie, Germany"
"Dune Thorne","Partner; Head, Private Client Growth and Strategy, Brown Advisory, USA"
"Thum Ping Tjin","Founder and Managing Director, New Naratif, Singapore"
"Matthew Tilleard","Managing Partner, CrossBoundary, Kenya"
"Serpil Timuray","CEO EU Cluster, Member of Group Executive Committee, United Kingdom"
"Irene Tinagli","Member of the European Parliament, European Union, European Parliament, Belgium"
"Win Win Tint","Founder and Chief Executive Officer, City Mart Holdings, Myanmar"
"Ashutosh Tiwari","Founder, SAFAL Partners, Nepal"
"Christopher Wing To","Counsel, Gilt Chambers, Hong Kong SAR, China"
"Graves Tompkins","Global Head, Capital Partnering, General Atlantic Partners, USA"
"Victor Tong Joo-Chuan","Chief Digital and Information Officer, National Gallery of Singapore, Singapore"
"Ray Tong Zhilei","Chairman and Chief Executive Officer, COL Digital Publishing Group Co., Ltd, People's Republic of China"
"Joice Toyota","Executive Director and Founder, Vetor Brasil, Brazil"
"Gregg Treinish","Executive Director, Adventure Scientists, USA"
"Renée Maria Tremblay","Senior Counsel, Supreme Court of Canada, Canada"
"Lila Tretikov","Deputy Chief Technology Officer, Microsoft, USA"
"Beatrice Trussardi","President, Fondazione Nicola Trussardi, Italy"
"Iliyana Tsanova","Deputy Managing Director, European Fund for Strategic Investment (EFSI), Luxembourg"
"Katsuya Uenoyama","Founder and Chief Executive Officer, PKSHA Technology Inc., Japan"
"Ganzorig Ulziibayar","Chief Executive Officer, Golomt Bank, Mongolia"
"Silverius O. Unggul","President, Telapak, Indonesia"
"Silje Vallestad","Founder, FutureTalks, Norway"
"Hajo van Beijma","Executive Director, Newpeople, Netherlands"
"Rebecca van Bergen","Founder and Executive Director, Nest, USA"
"Ganzorig Vanchig","Chairman, Down Syndrome Association Mongolia, Mongolia"
"Andrés A. van der Horst","Secretary of State for the Competitiveness and Productive Development, National Competitiveness Council, Dominican Republic"
"Karien van Gennip","Chief Executive Officer, VGZ Zorgverzekeraar N.V., Netherlands"
"Coen van Oostrom","Founder and Chief Executive Officer, EDGE, OVG Real Estate, Netherlands"
"Mabel van Oranje","Chair, Girls Not Brides, United Kingdom"
"Paul van Zyl","Co-Founder and Chief Creative Officer, The Conduit, United Kingdom"
"Leo Varadkar","Tánaiste and Minister for Enterprise, Trade and Employment, Leader of Fine Gael, Department of Enterprise, Trade and Employment of Ireland, Ireland"
"Ruben Vardanyan","Entrepreneur & Philanthropist, RVVZ Foundation, Russian Federation"
"Ivan Vatchkov","Private Investor, Singapore"
"Vasudha Vats","Vice-President, Pfizer, USA"
"Elisa Vegas","Artistic Director, Fundación Orquesta Sinfónica Gran Mariscal de Ayacucho, Venezuela"
"Leila Velez","Founder and Chief Executive Officer, Beleza Natural, Brazil"
"Arnaud Ventura","Founder, Acacia.ac, France, Metropolitan"
"Ayesha Vera-Yu","Chief Executive Officer and Co-Founder, Advancement for Rural Kids (ARK), USA"
"Diana Verde Nieto","Co-Founder and Chief Executive Officer, Positiveluxury.com, United Kingdom"
"Claudia Vergueiro Massei","Chief Executive Officer, Oman, Siemens, Oman"
"Martina Viarengo","Professor, International Economics, The Graduate Institute of International and Development Studies, Switzerland"
"Christophe Villemin","Operating Partner, Searchlight Capital Partners, United Kingdom"
"Mark Vlasic","Professor, Georgetown University, USA"
"Nicole Vogrin","Chief Corporate Affairs and Communications Officer, Western Union, USA"
"Felicitas von Peter","Founder and Managing Partner, Forum for Active Philanthropy gGmbH, Germany"
"David Frederik von Rosen-von Hoewel","Chief Executive Officer, Von Rosen Fashion Group AG, Germany"
"Jon S. von Tetzchner","Chief Executive Officer, Dvorzak Invest, Norway"
"Hitesh Wadhwa","Vice-President, Strategic Initiatives, Tech Mahindra, USA"
"Wai Wai Nu","Founder and Executive Director, Women Peace Network, Myanmar"
"David Alexander Walcott","Founder and Managing Partner, Novamed, Jamaica"
"Andrew Wales","Chief Digital Impact and Sustainability Officer, BT Group, United Kingdom"
"Jimmy Wales","Founder, Wikipedia.org, United Kingdom"
"Lisa Walker","Chief Executive Officer, Ecosphere+, United Kingdom"
"Richard Walker","Managing Director, Iceland Foods, United Kingdom"
"Siobhan Walsh","Strategy Adviser, CyArk, Ireland"
"Wang Guan","News Anchor and Host, China Global Television Network, People's Republic of China"
"Harry Wang Huai","Chief Executive Officer and Founder, Linear Capital, People's Republic of China"
"Wang Wen","Food Scientist, Nestlé R&D Centre Singapore, Singapore"
"James Wanjohi","Managing Partner, Alpha Strategy Consultants, South Africa"
"Wan Nadiah Wan Mohd Abdullah Yaakob","Executive Director and Group Chief Executive Officer, TMC Life Sciences Berhad, Malaysia"
"Pooja Warier Hamilton","Managing Partner, The Conduit, United Kingdom"
"Caroline Watson","Director and Founder, Hua Dan, France"
"Nolan Watson","President and Chief Executive Officer, Sandstorm Gold Ltd, Canada"
"David M. Webb","Editor, Webb-site.com, Hong Kong SAR, China"
"Scott Weber","President, Interpeace - International Organization for Peacebuilding, Switzerland"
"Ricardo Weder","Founder and Chief Executive Officer, JUSTO, INC., Mexico"
"Beatrice Weder di Mauro","President, Centre for Economic Policy Research (CEPR), United Kingdom"
"Leana Wen","Visiting Professor of Health Policy and Management, George Washington University, USA"
"Wen Bo","Member, Scientific Committee, Air and Water Conservation Fund, National Geographic Society, People's Republic of China"
"Christian Wenk","Senior Physician, Emergency Ward, Clinic St Anna, Switzerland"
"Adam Werbach","Global Lead, Sustainable Shopping, Amazon, USA"
"Lea Wermelin","Minister for Environment, Ministry of the Environment of Denmark, Denmark"
"Gregorio Werthein","Co-Chief Executive Officer, Replay Acquisition Corp, Argentina"
"Christian Wessels","Chief Executive Officer, Sunray Ventures, Nigeria"
"Silvia Wiesner","General Manager, Belgium and Luxembourg, Unilever, Belgium"
"Ted Wiley","Co-Founder and President, Form Energy Inc, USA"
"Adebola Williams","Chief Executive Officer, Red Media Africa, Nigeria"
"Bryony Winn","Chief Strategy Officer, Anthem, Inc., USA"
"Lisa Witter","Chief Executive Officer, Apolitical Foundation; Co-Founder and Member of the Board, Apolitical, Germany"
"Brian A. Wong","Chairman, RADII Media, Hong Kong SAR, China"
"Gareth Wong","Chief Executive Officer, Mitbana Pte Ltd, Singapore"
"Douglas C K Woo","Chairman and Managing Director, Wheelock and Company Ltd, Hong Kong SAR, China"
"Chen Wu","Professor at the National Cancer Center, Chinese Academy of Medical Sciences, People's Republic of China"
"Cynthia Wu","Executive Director, Shin Kong Life Foundation, Taiwan, China"
"Michele Wucker","Chief Executive Officer, Gray Rhino & Company, USA"
"Peter Würtenberger","Chief Executive Officer, upday, Axel Springer, Germany"
Conversion Error
"Werner Wutscher","Managing Director, St. Paul GmbH - New Venture Scouting, Austria"
"Weiwei Xing","Partner, Bain & Company Inc., Hong Kong SAR, China"
"Xue Peng","Founder and Chief Executive Officer, Beijing Tongcheng Biying Technology Ltd, People's Republic of China"
"Arzuhan Dogan Yalçindag","Member of the Board, Dogan Group of Companies, Turkey"
"Lin Yang","President, Innovation Ideas Institute, USA"
"Yang Luhan","Co-Founder and Chief Executive Officer, Qihan Biotech, People's Republic of China"
"Yan E. Yanovskiy","Co-Founder, Friends Foundation, Russian Federation"
"Yap Kwong Weng","Principal Adviser; Executive Director, Joint Lab, Singapore, KPMG Asia Pacific Limited, Singapore"
"Farzana Yaqoob","Chief Executive Officer, MANTAQ Center for Research, Pakistan"
"Yeo Bee Yin","Member, Parliament for Bakri, Johor, Malaysia"
"Hannah Yeoh","Member of Parliament, Segambut, Ministry of Women, Family and Community Development of Malaysia, Malaysia"
"Yeoh Pei Lou","Executive Director, FrogAsia Sdn Bhd, Malaysia"
"Melike Yetken","Head, International Organizations, Google, USA"
"Yin Qi","Co-Founder and Chief Executive Officer, Megvii Technology, People's Republic of China"
"Yasui Yoshiki","Chief Executive Officer, Yasui & Company, Japan"
"Kaliya Young","Director, Networks, Planetwork, USA"
"Yuan Jiakai","Vice-President and Chief Representative, China, United Way Worldwide, People's Republic of China"
"Yuefei Qin","Founder, Serve For China, People's Republic of China"
"Monica Yunus","Co-Founder, Sing for Hope, USA"
"Raya Yusuf-Sbitany","Chief Executive Officer, Derma Beauty Lab, Palestinian Territories"
"Carol Yu Ying","Producer and Host, Phoenix Satellite Television Co. Ltd, People's Republic of China"
"Asif Zahir","Deputy Managing Director, Ananta Apparels Ltd, Bangladesh"
"Mosharraf Zaidi","Chief Executive Officer, Tabadlab, Pakistan"
"Achmad Zaky","Founding Partner, Init 6, Indonesia"
"Nino Zambakhidze","Chairwoman, Georgian Farmers' Association, Georgia"
"Andrey Zarur","Co-Founder and Chief Executive Officer, Greenlight Biosciences Inc, USA"
"Michelle Zatlyn","Co-Founder, President and Chief Operating Officer, Cloudflare, USA"
"Fernando Zavala","Chief Executive Officer, Intercorp, Peru"
"Christian Zeinler","Head, Strategy & Business Development, UBS Switzerland AG, Switzerland"
"Almira Zejnilagic","Senior Managing Director, FTI Consulting, United Kingdom"
"Niklas Zennström","Founder and Chief Executive Officer, Atomico, United Kingdom"
"Feng Zhang","James and Patricia Poitras Professor in Neuroscience, Massachusetts Institute of Technology (MIT), USA"
"Zhang Longmei","Deputy Resident Representative for China, International Monetary Fund (IMF), People's Republic of China"
"Zhang Lu","Founding and Managing Partner, Fusion Fund, USA"
"Nancie Zhu","Anchor, Phoenix Satellite Television Co. Ltd, Hong Kong SAR, China"
"Zhu Xiaoxuan","Deputy Director, China Science and Technology Exchange Center, Ministry of Science and Technology, People's Republic of China"
"Fabio Ziemssen","Director, Food Innovation, NX-FOOD, Germany"
"Jonathan Zittrain","George Bemis Professor of International Law and Professor of Computer Science, Harvard University, USA"
"Zou Hao","Chief Executive Officer, Tsimage Technology, People's Republic of China"
"Ali Zuashkiani","Chief Executive Officer, Physical Asset Management Corporation, Islamic Republic of Iran"
"Mark Zuckerberg","Founder and Chief Executive Officer, Facebook, USA"
"Alix Zwane","Chief Executive Officer, Global Innovation Fund, United Kingdom"
